Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773638146	0	3907	7260	0	16088	7623	0	0	0	0	0	0	0	0	0	1	1
1773638148	2	251862	258220	0	513068	703917	0	88	0	132	2	292	2	0	0	2	2
1773638150	4	251862	258220	0	513068	703917	0	88	0	132	2	292	2	0	0	2	2
1773638152	6	251862	258220	0	513068	703917	0	88	0	132	2	292	2	0	0	2	2
1773638154	8	251862	258220	0	513068	703917	0	88	0	132	2	292	2	0	0	2	2
1773638156	10	251862	258220	0	513068	703917	0	88	0	132	2	292	2	0	0	2	2
1773638158	12	251862	258220	0	513068	703917	0	88	0	132	2	292	2	0	0	2	2
1773638160	14	251862	258220	0	513068	703917	0	88	0	132	2	292	2	0	0	2	2
1773638162	16	251862	258220	0	513068	703917	0	88	0	132	2	292	2	0	0	2	2
1773638164	18	251862	258220	0	513068	703917	0	88	0	132	2	292	2	0	0	2	2
1773638166	20	251862	258220	0	513068	703917	0	88	0	132	2	292	2	0	0	2	2
1773638168	22	984773	993932	0	1983616	708492	0	177	0	426	5	572	4	0	0	3	3
1773638170	24	984773	993932	0	1983616	708492	0	177	0	512	6	662	5	0	0	3	3
1773638172	26	984773	993932	0	1983616	708492	0	177	0	598	7	662	5	0	0	3	3
1773638174	28	251862	258220	0	513068	708492	0	177	0	598	7	662	5	0	0	3	3
1773638176	30	251862	258220	0	513068	708492	0	177	0	730	9	1146	7	0	0	3	3
1773638178	32	251862	258220	0	513068	708492	0	177	0	862	11	1622	9	0	0	3	3
1773638180	34	251862	258220	0	513068	708492	0	177	0	928	12	2004	10	0	0	3	3
1773638182	36	496653	2706476	0	5452948	708492	0	177	0	1146	15	2576	12	0	0	13	13
1773638184	38	496653	2706476	0	5452948	708492	0	177	0	1146	15	2576	12	0	0	13	13
1773638186	40	496653	2706476	0	5452948	708492	0	177	0	1146	15	2576	12	0	0	13	13
1773638188	42	251862	258220	0	513068	708492	0	177	0	1146	15	2576	12	0	0	4	4
1773638190	44	251862	258220	0	513068	708492	0	177	0	1212	16	2958	13	0	0	4	4
1773638192	46	251862	258220	0	513068	708492	0	177	0	1278	17	3340	14	0	0	4	4
1773638194	48	251862	258220	0	513068	708492	0	177	0	1560	22	4154	19	0	0	4	4
1773638196	50	251862	258220	0	513068	708492	0	177	0	1626	23	4392	20	0	0	4	4
1773638198	52	984773	993928	0	1983616	713067	0	266	0	1758	25	4964	22	0	1	4	4
1773638200	54	984773	993928	0	1983616	713067	0	266	0	1758	25	4964	22	0	1	4	4
1773638202	56	251862	258220	0	513068	713067	0	266	0	1758	25	4964	22	0	1	4	4
1773638204	58	251862	258220	0	513068	713067	0	266	0	1824	26	5346	23	0	1	4	4
1773638206	60	251862	258220	0	513068	713067	0	266	0	1890	27	5728	24	0	1	4	4
1773638208	62	251862	258220	0	513068	713067	0	266	0	1956	28	6110	25	0	1	4	4
1773638210	64	251862	258220	0	513068	713067	0	266	0	2022	29	6492	26	0	1	4	4
1773638212	66	496653	2706476	0	5452948	717642	0	355	0	2154	31	7064	28	1	1	13	13
1773638214	68	496653	2706476	0	5452948	717642	0	355	0	2240	32	7064	28	1	1	13	13
1773638216	70	496653	2706476	0	5452948	717642	0	355	0	2240	32	7064	28	1	1	13	13
1773638218	72	251862	258220	0	513068	717642	0	355	0	2240	32	7064	28	1	1	4	4
1773638220	74	251862	258220	0	513068	717642	0	355	0	2306	33	7446	29	1	1	4	4
1773638222	76	251862	258220	0	513068	717642	0	355	0	2438	35	7930	31	1	1	4	4
1773638224	78	251862	258220	0	513068	717642	0	355	0	2570	37	8414	33	1	1	4	4
1773638226	80	251862	258220	0	513068	717642	0	355	0	2778	39	8976	36	1	1	4	4
1773638228	82	984773	993928	0	1983616	722217	0	444	0	2976	42	9650	39	1	1	4	4
1773638230	84	984773	993928	0	1983616	722217	0	444	0	2976	42	9650	39	1	1	4	4
1773638232	86	252349	261504	0	518772	722217	0	444	0	2976	42	9650	39	1	1	4	4
1773638234	88	251862	258220	0	513068	722217	0	444	0	2976	42	9650	39	1	1	4	4
1773638236	90	251862	258220	0	513068	722217	0	444	0	3042	43	10032	40	1	1	4	4
1773638238	92	251862	258220	0	513068	722217	0	444	0	3108	44	10414	41	1	1	4	4
1773638240	94	251862	258220	0	513068	722217	0	444	0	3174	45	10796	42	1	1	4	4
1773638242	96	496653	2706476	0	5452948	726792	0	533	0	3392	48	11368	44	1	1	13	13
1773638244	98	496653	2706476	0	5452948	726792	0	533	0	3392	48	11368	44	1	1	13	13
1773638246	100	496653	2706476	0	5452948	726792	0	533	0	3392	48	11368	44	1	1	13	13
1773638248	102	251862	258220	0	513068	726792	0	533	0	3392	48	11368	44	1	1	4	4
1773638250	104	251862	258220	0	513068	726792	0	533	0	3458	49	11750	45	1	1	4	4
1773638252	106	251862	258220	0	513068	726792	0	533	0	3524	50	12132	46	1	1	4	4
1773638254	108	251862	258220	0	513068	726792	0	533	0	3656	52	12608	48	1	1	4	4
1773638256	110	251862	258220	0	513068	726792	0	533	0	3788	54	13092	50	1	1	4	4
1773638258	112	984777	993936	0	1983616	731367	0	622	0	3920	56	13664	52	1	2	4	4
1773638260	114	984777	993936	0	1983616	731367	0	622	0	3920	56	13664	52	1	2	4	4
1773638262	116	252353	261512	0	518772	731367	0	622	0	3920	56	13664	52	1	2	4	4
1773638264	118	251862	258220	0	513068	731367	0	622	0	3920	56	13664	52	1	2	4	4
1773638266	120	251862	258220	0	513068	731367	0	622	0	3986	57	14046	53	1	2	4	4
1773638268	122	251862	258220	0	513068	731367	0	622	0	4052	58	14428	54	1	2	4	4
1773638270	124	251862	258220	0	513068	731367	0	622	0	4118	59	14810	55	1	2	4	4
1773638272	126	496693	2706516	0	5452948	735942	0	711	0	4336	62	15382	57	1	2	13	13
1773638274	128	496693	2706516	0	5452948	735942	0	711	0	4336	62	15382	57	1	2	13	13
1773638276	130	496693	2706516	0	5452948	735942	0	711	0	4336	62	15382	57	1	2	13	13
1773638278	132	251862	258220	0	513068	735942	0	711	0	4336	62	15382	57	1	2	4	4
1773638280	134	251862	258220	0	513068	735942	0	711	0	4488	64	15764	58	1	2	4	4
1773638282	136	251862	258220	0	513068	735942	0	711	0	4640	66	16146	59	1	2	4	4
1773638284	138	251862	258220	0	513068	735942	0	711	0	4772	68	16622	61	1	2	4	4
1773638286	140	251862	258220	0	513068	735942	0	711	0	4838	69	17004	62	1	2	4	4
