Time	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1773633907	0	6916	9416	0	982268	4575	0	89	0	726	7	732	4	0	0	1	1
1773633909	1	489072	491572	0	982268	4575	0	89	0	2362	23	3190	15	0	0	1	1
1773633911	3	489072	491572	0	982268	4575	0	89	0	3940	38	5738	27	0	0	1	1
1773633913	5	489072	491572	0	982268	4575	0	89	0	5518	53	8286	39	0	0	1	1
1773633915	7	489072	491572	0	982268	4575	0	89	0	7096	68	10834	51	0	0	1	1
1773633917	9	489072	491572	0	982268	4575	0	89	0	8740	84	13492	64	0	0	1	1
1773633919	11	489072	491572	0	982268	4575	0	89	0	10318	99	16048	76	0	0	1	1
1773633921	13	489072	491572	0	982268	4575	0	89	0	11896	114	18596	88	0	0	1	1
1773633923	15	489072	491572	0	982268	4575	0	89	0	13560	130	21152	100	0	0	1	1
1773633925	17	489072	491572	0	982268	4575	0	89	0	15246	147	23852	114	0	0	1	1
1773633927	19	489072	491572	0	982268	4575	0	89	0	16824	162	26408	126	0	0	1	1
1773633929	21	489072	491572	0	982268	4575	0	89	0	18290	177	28184	138	0	0	1	1
1773633931	23	489072	491572	0	982268	4575	0	89	0	19156	186	29380	146	0	0	1	1
1773633933	25	489072	491572	0	982268	4575	0	89	0	20042	195	30576	154	0	0	1	1
1773633935	27	489072	491572	0	982268	4575	0	89	0	20842	203	31772	162	0	0	1	1
1773633937	29	489072	491572	0	982268	4575	0	89	0	21708	212	33070	171	0	0	1	1
1773633939	31	489072	491572	0	982268	4575	0	89	0	22574	221	34266	179	0	0	1	1
1773633941	33	489072	491572	0	982268	4575	0	89	0	23440	230	35462	187	0	0	1	1
1773633943	35	489072	491572	0	982268	4575	0	89	0	24240	238	36658	195	0	0	1	1
1773633945	37	489072	491572	0	982268	4575	0	89	0	25248	248	38034	205	0	0	1	1
1773633947	39	489072	491572	0	982268	4575	0	89	0	26048	256	39230	213	0	0	1	1
1773633949	41	489072	491572	0	982268	4575	0	89	0	26848	264	40426	221	0	0	1	1
1773633951	43	489072	491572	0	982268	4575	0	89	0	27714	273	41622	229	0	0	1	1
1773633953	45	489072	491572	0	982268	4575	0	89	0	28580	282	42818	237	0	0	1	1
1773633955	47	489072	491572	0	982268	4575	0	89	0	29446	291	44014	245	0	0	1	1
1773633957	49	489072	491572	0	982268	4575	0	89	0	30246	299	45312	254	0	0	1	1
1773633959	51	489072	491572	0	982268	4575	0	89	0	31046	307	46508	262	0	0	1	1
1773633961	53	489072	491572	0	982268	4575	0	89	0	31998	317	47704	270	0	0	1	1
1773633963	55	489072	491572	0	982268	4575	0	89	0	32798	325	48900	278	0	0	1	1
1773633965	57	489072	491572	0	982268	4575	0	89	0	33598	333	50096	286	0	0	1	1
1773633967	59	489072	491572	0	982268	4575	0	89	0	34398	341	51292	294	0	0	1	1
1773633969	61	489072	491572	0	982268	4575	0	89	0	35198	349	52488	302	0	0	1	1
1773633971	63	489072	491572	0	982268	4575	0	89	0	36064	358	53684	310	0	0	1	1
1773633973	65	489072	491572	0	982268	4575	0	89	0	36996	368	54916	318	0	0	1	1
1773633975	67	489072	491572	0	982268	4575	0	89	0	37862	377	56112	326	0	0	1	1
1773633977	69	489072	491572	0	982268	4575	0	89	0	38662	385	57410	335	0	0	1	1
1773633979	71	489072	491572	0	982268	4575	0	89	0	39462	393	58606	343	0	0	1	1
1773633981	73	489072	491572	0	982268	4575	0	89	0	40262	401	59802	351	0	0	1	1
1773633983	75	489072	491572	0	982268	4575	0	89	0	41062	409	60998	359	0	0	1	1
1773633985	77	489072	491572	0	982268	4575	0	89	0	41862	417	62194	367	0	0	1	1
1773633987	79	489072	491572	0	982268	4575	0	89	0	42728	426	63390	375	0	0	1	1
1773633989	81	489072	491572	0	982268	4575	0	89	0	43594	435	64586	383	0	0	1	1
1773633991	83	489072	491572	0	982268	4575	0	89	0	44480	444	65782	391	0	0	1	1
1773633993	85	489072	491572	0	982268	4575	0	89	0	45346	453	66978	399	0	0	1	1
1773633995	87	489072	491572	0	982268	4575	0	89	0	46212	462	68174	407	0	0	1	1
1773633997	89	489072	491572	0	982268	4575	0	89	0	47078	471	69370	415	0	0	1	1
1773633999	91	489072	491572	0	982268	4575	0	89	0	47944	480	70668	424	0	0	1	1
1773634001	93	489072	491572	0	982268	4575	0	89	0	48744	488	71864	432	0	0	1	1
1773634003	95	489072	491572	0	982268	4575	0	89	0	49544	496	73060	440	0	0	1	1
1773634005	97	489072	491572	0	982268	4575	0	89	0	50476	506	74358	449	0	0	1	1
1773634007	99	489072	491572	0	982268	4575	0	89	0	51276	514	75554	457	0	0	1	1
